(.venv) Efrans-MacBook-Air:Neural-Network-from-scratch efran$ /Users/efran/Downloads/Neural-Network-from-scratch/.venv/bin/python /Users/efran/Downloads/Neural-Network-from-scratch/train_exp/AE_experiments.py
Dataset=fashion  |  train=torch.Size([54000, 784])  val=torch.Size([6000, 784])  test=torch.Size([10000, 784])

=== Config 1/2: {'enc_dims': [256, 128], 'dec_dims': [256], 'bn': True, 'bn_where': 'both', 'init': 'he', 'act': 'relu', 'out_act': 'linear', 'loss': 'mse', 'lr': 0.003, 'batch': 128} ===
[1:01] train_recon=1.0897  val_recon=1.0041
[1:61] train_recon=0.0795  val_recon=0.0772
[1:62] train_recon=0.0791  val_recon=0.0773
[1:63] train_recon=0.0781  val_recon=0.0758
[1:64] train_recon=0.0775  val_recon=0.0746
[1:65] train_recon=0.0768  val_recon=0.0746
[1:66] train_recon=0.0763  val_recon=0.0738
[1:67] train_recon=0.0755  val_recon=0.0728
[1:68] train_recon=0.0749  val_recon=0.0728
[1:69] train_recon=0.0744  val_recon=0.0717
[1:70] train_recon=0.0739  val_recon=0.0714
[1:71] train_recon=0.0733  val_recon=0.0705
[1:72] train_recon=0.0727  val_recon=0.0700
[1:73] train_recon=0.0721  val_recon=0.0697
[1:74] train_recon=0.0715  val_recon=0.0695
[1:75] train_recon=0.0714  val_recon=0.0687
[1:76] train_recon=0.0708  val_recon=0.0682
[1:77] train_recon=0.0702  val_recon=0.0685
[1:78] train_recon=0.0698  val_recon=0.0676
[1:79] train_recon=0.0692  val_recon=0.0671
[1:80] train_recon=0.0688  val_recon=0.0663
[1:81] train_recon=0.0684  val_recon=0.0662
[1:82] train_recon=0.0680  val_recon=0.0660
[1:83] train_recon=0.0677  val_recon=0.0651
[1:84] train_recon=0.0671  val_recon=0.0652
[1:85] train_recon=0.0670  val_recon=0.0649
[1:86] train_recon=0.0665  val_recon=0.0644
[1:87] train_recon=0.0661  val_recon=0.0638
[1:88] train_recon=0.0658  val_recon=0.0638
[1:89] train_recon=0.0656  val_recon=0.0632
[1:90] train_recon=0.0652  val_recon=0.0629
[1:91] train_recon=0.0649  val_recon=0.0622
[1:92] train_recon=0.0644  val_recon=0.0623
[1:93] train_recon=0.0641  val_recon=0.0618
[1:94] train_recon=0.0639  val_recon=0.0619
[1:95] train_recon=0.0636  val_recon=0.0613
[1:96] train_recon=0.0633  val_recon=0.0608
[1:97] train_recon=0.0630  val_recon=0.0606
[1:98] train_recon=0.0627  val_recon=0.0606
[1:99] train_recon=0.0622  val_recon=0.0602
[1:100] train_recon=0.0622  val_recon=0.0599
[1:101] train_recon=0.0618  val_recon=0.0596
[1:102] train_recon=0.0615  val_recon=0.0595
[1:103] train_recon=0.0613  val_recon=0.0589
[1:104] train_recon=0.0611  val_recon=0.0588
[1:105] train_recon=0.0610  val_recon=0.0583
[1:106] train_recon=0.0608  val_recon=0.0590
[1:107] train_recon=0.0604  val_recon=0.0581
[1:108] train_recon=0.0601  val_recon=0.0586
[1:109] train_recon=0.0600  val_recon=0.0576
[1:110] train_recon=0.0596  val_recon=0.0575
[1:111] train_recon=0.0594  val_recon=0.0573
[1:112] train_recon=0.0594  val_recon=0.0569
[1:113] train_recon=0.0590  val_recon=0.0569
[1:114] train_recon=0.0588  val_recon=0.0567
[1:115] train_recon=0.0588  val_recon=0.0566
[1:116] train_recon=0.0584  val_recon=0.0564
[1:117] train_recon=0.0583  val_recon=0.0564
[1:118] train_recon=0.0579  val_recon=0.0557
[1:119] train_recon=0.0580  val_recon=0.0561
[1:120] train_recon=0.0580  val_recon=0.0553
[1:121] train_recon=0.0575  val_recon=0.0555
[1:122] train_recon=0.0574  val_recon=0.0553
[1:123] train_recon=0.0571  val_recon=0.0550
[1:124] train_recon=0.0570  val_recon=0.0548
[1:125] train_recon=0.0568  val_recon=0.0547
[1:126] train_recon=0.0566  val_recon=0.0543
[1:127] train_recon=0.0565  val_recon=0.0543
[1:128] train_recon=0.0564  val_recon=0.0544
[1:129] train_recon=0.0562  val_recon=0.0544
[1:130] train_recon=0.0560  val_recon=0.0541
[1:131] train_recon=0.0559  val_recon=0.0536
[1:132] train_recon=0.0557  val_recon=0.0536
[1:133] train_recon=0.0555  val_recon=0.0536
[1:134] train_recon=0.0553  val_recon=0.0533
[1:135] train_recon=0.0553  val_recon=0.0531
[1:136] train_recon=0.0551  val_recon=0.0530
[1:137] train_recon=0.0548  val_recon=0.0528
[1:138] train_recon=0.0547  val_recon=0.0530
[1:139] train_recon=0.0546  val_recon=0.0526
[1:140] train_recon=0.0545  val_recon=0.0522
[1:141] train_recon=0.0544  val_recon=0.0525
[1:142] train_recon=0.0543  val_recon=0.0521
[1:143] train_recon=0.0541  val_recon=0.0523
[1:144] train_recon=0.0540  val_recon=0.0518
[1:145] train_recon=0.0539  val_recon=0.0520
[1:146] train_recon=0.0537  val_recon=0.0516
[1:147] train_recon=0.0536  val_recon=0.0515
[1:148] train_recon=0.0534  val_recon=0.0513
[1:149] train_recon=0.0533  val_recon=0.0513
[1:150] train_recon=0.0532  val_recon=0.0512
[1:151] train_recon=0.0532  val_recon=0.0509
[1:152] train_recon=0.0530  val_recon=0.0508
[1:153] train_recon=0.0529  val_recon=0.0507
[1:154] train_recon=0.0528  val_recon=0.0507
[1:155] train_recon=0.0527  val_recon=0.0508
[1:156] train_recon=0.0525  val_recon=0.0504
[1:157] train_recon=0.0524  val_recon=0.0502
[1:158] train_recon=0.0523  val_recon=0.0502
[1:159] train_recon=0.0522  val_recon=0.0503
[1:160] train_recon=0.0521  val_recon=0.0499
[1:161] train_recon=0.0521  val_recon=0.0498
[1:162] train_recon=0.0519  val_recon=0.0499
[1:163] train_recon=0.0519  val_recon=0.0496
[1:164] train_recon=0.0518  val_recon=0.0496
[1:165] train_recon=0.0515  val_recon=0.0496
[1:166] train_recon=0.0514  val_recon=0.0495
[1:167] train_recon=0.0516  val_recon=0.0493
[1:168] train_recon=0.0515  val_recon=0.0492
[1:169] train_recon=0.0513  val_recon=0.0491
[1:170] train_recon=0.0511  val_recon=0.0491
[1:171] train_recon=0.0511  val_recon=0.0489
[1:172] train_recon=0.0510  val_recon=0.0490
[1:173] train_recon=0.0509  val_recon=0.0488
[1:174] train_recon=0.0507  val_recon=0.0486
[1:175] train_recon=0.0507  val_recon=0.0487
[1:176] train_recon=0.0506  val_recon=0.0491
[1:177] train_recon=0.0506  val_recon=0.0484
[1:178] train_recon=0.0504  val_recon=0.0482
[1:179] train_recon=0.0503  val_recon=0.0485
[1:180] train_recon=0.0504  val_recon=0.0487
[1:181] train_recon=0.0503  val_recon=0.0483
[1:182] train_recon=0.0501  val_recon=0.0479
[1:183] train_recon=0.0500  val_recon=0.0481
[1:184] train_recon=0.0500  val_recon=0.0479
[1:185] train_recon=0.0499  val_recon=0.0480
[1:186] train_recon=0.0498  val_recon=0.0480
[1:187] train_recon=0.0498  val_recon=0.0480
[1:188] train_recon=0.0497  val_recon=0.0475
[1:189] train_recon=0.0496  val_recon=0.0474
[1:190] train_recon=0.0496  val_recon=0.0477
[1:191] train_recon=0.0495  val_recon=0.0475
[1:192] train_recon=0.0493  val_recon=0.0473
[1:193] train_recon=0.0493  val_recon=0.0472
[1:194] train_recon=0.0491  val_recon=0.0471
[1:195] train_recon=0.0492  val_recon=0.0473
[1:196] train_recon=0.0489  val_recon=0.0472
[1:197] train_recon=0.0490  val_recon=0.0470
[1:198] train_recon=0.0490  val_recon=0.0473
[1:199] train_recon=0.0488  val_recon=0.0469
[1:200] train_recon=0.0488  val_recon=0.0466
[1:201] train_recon=0.0488  val_recon=0.0468
[1:202] train_recon=0.0486  val_recon=0.0464
[1:203] train_recon=0.0487  val_recon=0.0466
[1:204] train_recon=0.0485  val_recon=0.0468
[1:205] train_recon=0.0485  val_recon=0.0466
[1:206] train_recon=0.0484  val_recon=0.0465
[1:207] train_recon=0.0483  val_recon=0.0464
[1:208] train_recon=0.0483  val_recon=0.0464
[1:209] train_recon=0.0483  val_recon=0.0470
[1:210] train_recon=0.0482  val_recon=0.0459
[1:211] train_recon=0.0481  val_recon=0.0463
[1:212] train_recon=0.0481  val_recon=0.0460
[1:213] train_recon=0.0478  val_recon=0.0461
[1:214] train_recon=0.0478  val_recon=0.0459
[1:215] train_recon=0.0479  val_recon=0.0458
[1:216] train_recon=0.0479  val_recon=0.0457
[1:217] train_recon=0.0478  val_recon=0.0458
[1:218] train_recon=0.0477  val_recon=0.0456
[1:219] train_recon=0.0475  val_recon=0.0457
[1:220] train_recon=0.0476  val_recon=0.0456
[1:221] train_recon=0.0474  val_recon=0.0457
[1:222] train_recon=0.0474  val_recon=0.0455
[1:223] train_recon=0.0474  val_recon=0.0455
[1:224] train_recon=0.0475  val_recon=0.0454
[1:225] train_recon=0.0474  val_recon=0.0457
[1:226] train_recon=0.0473  val_recon=0.0452
[1:227] train_recon=0.0472  val_recon=0.0451
[1:228] train_recon=0.0471  val_recon=0.0451
[1:229] train_recon=0.0471  val_recon=0.0450
[1:230] train_recon=0.0470  val_recon=0.0451
[1:231] train_recon=0.0469  val_recon=0.0451
[1:232] train_recon=0.0469  val_recon=0.0450
[1:233] train_recon=0.0468  val_recon=0.0449
[1:234] train_recon=0.0468  val_recon=0.0450
[1:235] train_recon=0.0467  val_recon=0.0447
[1:236] train_recon=0.0467  val_recon=0.0447
[1:237] train_recon=0.0467  val_recon=0.0447
[1:238] train_recon=0.0466  val_recon=0.0446
[1:239] train_recon=0.0466  val_recon=0.0446
[1:240] train_recon=0.0466  val_recon=0.0445
[1:241] train_recon=0.0465  val_recon=0.0444
[1:242] train_recon=0.0465  val_recon=0.0444
[1:243] train_recon=0.0464  val_recon=0.0445
[1:244] train_recon=0.0463  val_recon=0.0444
[1:245] train_recon=0.0464  val_recon=0.0447
[1:246] train_recon=0.0462  val_recon=0.0442
[1:247] train_recon=0.0462  val_recon=0.0444
[1:248] train_recon=0.0462  val_recon=0.0443
[1:249] train_recon=0.0461  val_recon=0.0449
[1:250] train_recon=0.0461  val_recon=0.0442
[1:251] train_recon=0.0460  val_recon=0.0440
[1:252] train_recon=0.0460  val_recon=0.0442
[1:253] train_recon=0.0459  val_recon=0.0439
[1:254] train_recon=0.0459  val_recon=0.0441
[1:255] train_recon=0.0459  val_recon=0.0440
[1:256] train_recon=0.0457  val_recon=0.0439
[1:257] train_recon=0.0457  val_recon=0.0437
[1:258] train_recon=0.0457  val_recon=0.0438
[1:259] train_recon=0.0457  val_recon=0.0437
[1:260] train_recon=0.0457  val_recon=0.0439
[1:261] train_recon=0.0456  val_recon=0.0437
[1:262] train_recon=0.0455  val_recon=0.0437
[1:263] train_recon=0.0456  val_recon=0.0438
[1:264] train_recon=0.0456  val_recon=0.0436
[1:265] train_recon=0.0454  val_recon=0.0434
[1:266] train_recon=0.0454  val_recon=0.0434
[1:267] train_recon=0.0454  val_recon=0.0436
[1:268] train_recon=0.0453  val_recon=0.0433
[1:269] train_recon=0.0453  val_recon=0.0434
[1:270] train_recon=0.0452  val_recon=0.0433
[1:271] train_recon=0.0451  val_recon=0.0433
[1:272] train_recon=0.0452  val_recon=0.0432
[1:273] train_recon=0.0452  val_recon=0.0431
[1:274] train_recon=0.0451  val_recon=0.0431
[1:275] train_recon=0.0452  val_recon=0.0432
[1:276] train_recon=0.0451  val_recon=0.0430
[1:277] train_recon=0.0450  val_recon=0.0432
[1:278] train_recon=0.0449  val_recon=0.0430
[1:279] train_recon=0.0450  val_recon=0.0431
[1:280] train_recon=0.0449  val_recon=0.0429
[1:281] train_recon=0.0450  val_recon=0.0429
[1:282] train_recon=0.0449  val_recon=0.0428
[1:283] train_recon=0.0448  val_recon=0.0429
[1:284] train_recon=0.0448  val_recon=0.0429
[1:285] train_recon=0.0446  val_recon=0.0427
[1:286] train_recon=0.0448  val_recon=0.0431
[1:287] train_recon=0.0445  val_recon=0.0427
[1:288] train_recon=0.0445  val_recon=0.0426
[1:289] train_recon=0.0446  val_recon=0.0426
[1:290] train_recon=0.0445  val_recon=0.0426
[1:291] train_recon=0.0444  val_recon=0.0426
[1:292] train_recon=0.0445  val_recon=0.0426
[1:293] train_recon=0.0446  val_recon=0.0425
[1:294] train_recon=0.0444  val_recon=0.0425
[1:295] train_recon=0.0444  val_recon=0.0424
[1:296] train_recon=0.0443  val_recon=0.0423
[1:297] train_recon=0.0444  val_recon=0.0425
[1:298] train_recon=0.0442  val_recon=0.0425
[1:299] train_recon=0.0443  val_recon=0.0423
[1:300] train_recon=0.0443  val_recon=0.0425

=== Config 2/2: {'enc_dims': [128, 32], 'dec_dims': [128], 'bn': False, 'bn_where': 'none', 'init': 'xavier', 'act': 'sigmoid', 'out_act': 'linear', 'loss': 'mse', 'lr': 0.001, 'batch': 128} ===
[2:01] train_recon=0.2846  val_recon=0.2760
[2:02] train_recon=0.2697  val_recon=0.2617
[2:03] train_recon=0.2560  val_recon=0.2486
[2:04] train_recon=0.2433  val_recon=0.2364
[2:05] train_recon=0.2316  val_recon=0.2252
[2:06] train_recon=0.2209  val_recon=0.2149
[2:07] train_recon=0.2109  val_recon=0.2054
[2:08] train_recon=0.2017  val_recon=0.1965
[2:09] train_recon=0.1932  val_recon=0.1884
[2:10] train_recon=0.1853  val_recon=0.1808
[2:11] train_recon=0.1780  val_recon=0.1738
[2:12] train_recon=0.1713  val_recon=0.1674
[2:13] train_recon=0.1651  val_recon=0.1614
[2:14] train_recon=0.1593  val_recon=0.1558
[2:15] train_recon=0.1540  val_recon=0.1507
[2:16] train_recon=0.1490  val_recon=0.1459
[2:17] train_recon=0.1444  val_recon=0.1415
[2:18] train_recon=0.1402  val_recon=0.1375
[2:19] train_recon=0.1362  val_recon=0.1337
[2:20] train_recon=0.1326  val_recon=0.1302
[2:21] train_recon=0.1292  val_recon=0.1269
[2:22] train_recon=0.1261  val_recon=0.1239
[2:23] train_recon=0.1232  val_recon=0.1212
[2:24] train_recon=0.1205  val_recon=0.1186
[2:25] train_recon=0.1180  val_recon=0.1162
[2:26] train_recon=0.1157  val_recon=0.1140
[2:27] train_recon=0.1136  val_recon=0.1119
[2:28] train_recon=0.1116  val_recon=0.1100
[2:29] train_recon=0.1097  val_recon=0.1083
[2:30] train_recon=0.1080  val_recon=0.1066
[2:31] train_recon=0.1065  val_recon=0.1051
[2:32] train_recon=0.1050  val_recon=0.1037
[2:33] train_recon=0.1037  val_recon=0.1024
[2:34] train_recon=0.1024  val_recon=0.1012
[2:35] train_recon=0.1013  val_recon=0.1001
[2:36] train_recon=0.1002  val_recon=0.0991
[2:37] train_recon=0.0992  val_recon=0.0982
[2:38] train_recon=0.0983  val_recon=0.0973
[2:39] train_recon=0.0974  val_recon=0.0965
[2:40] train_recon=0.0966  val_recon=0.0957
[2:41] train_recon=0.0959  val_recon=0.0950
[2:42] train_recon=0.0952  val_recon=0.0944
[2:43] train_recon=0.0946  val_recon=0.0938
[2:44] train_recon=0.0940  val_recon=0.0932
[2:45] train_recon=0.0935  val_recon=0.0927
[2:46] train_recon=0.0930  val_recon=0.0922
[2:47] train_recon=0.0925  val_recon=0.0918
[2:48] train_recon=0.0921  val_recon=0.0914
[2:49] train_recon=0.0917  val_recon=0.0910
[2:50] train_recon=0.0913  val_recon=0.0907
[2:51] train_recon=0.0910  val_recon=0.0903
[2:52] train_recon=0.0907  val_recon=0.0900
[2:53] train_recon=0.0904  val_recon=0.0898
[2:54] train_recon=0.0901  val_recon=0.0895
[2:55] train_recon=0.0899  val_recon=0.0893
[2:56] train_recon=0.0897  val_recon=0.0891
[2:57] train_recon=0.0894  val_recon=0.0889
[2:58] train_recon=0.0893  val_recon=0.0887
[2:59] train_recon=0.0891  val_recon=0.0885
[2:60] train_recon=0.0889  val_recon=0.0883
[2:61] train_recon=0.0888  val_recon=0.0882
[2:62] train_recon=0.0886  val_recon=0.0881
[2:63] train_recon=0.0885  val_recon=0.0879
[2:64] train_recon=0.0884  val_recon=0.0878
[2:65] train_recon=0.0882  val_recon=0.0877
[2:66] train_recon=0.0881  val_recon=0.0876
[2:67] train_recon=0.0880  val_recon=0.0875
[2:68] train_recon=0.0880  val_recon=0.0874
[2:69] train_recon=0.0879  val_recon=0.0874
[2:70] train_recon=0.0878  val_recon=0.0873
[2:71] train_recon=0.0877  val_recon=0.0872
[2:72] train_recon=0.0877  val_recon=0.0872
[2:73] train_recon=0.0876  val_recon=0.0871
[2:74] train_recon=0.0875  val_recon=0.0871
[2:75] train_recon=0.0875  val_recon=0.0870
[2:76] train_recon=0.0874  val_recon=0.0870
[2:77] train_recon=0.0874  val_recon=0.0869
[2:78] train_recon=0.0874  val_recon=0.0869
[2:79] train_recon=0.0873  val_recon=0.0868
[2:80] train_recon=0.0873  val_recon=0.0868
[2:81] train_recon=0.0873  val_recon=0.0868
[2:82] train_recon=0.0872  val_recon=0.0868
[2:83] train_recon=0.0872  val_recon=0.0867
[2:84] train_recon=0.0872  val_recon=0.0867
[2:85] train_recon=0.0871  val_recon=0.0867
[2:86] train_recon=0.0871  val_recon=0.0867
[2:87] train_recon=0.0871  val_recon=0.0866
[2:88] train_recon=0.0871  val_recon=0.0866
[2:89] train_recon=0.0871  val_recon=0.0866
[2:90] train_recon=0.0871  val_recon=0.0866
[2:91] train_recon=0.0870  val_recon=0.0866
[2:92] train_recon=0.0870  val_recon=0.0866
[2:93] train_recon=0.0870  val_recon=0.0866
[2:94] train_recon=0.0870  val_recon=0.0865
[2:95] train_recon=0.0870  val_recon=0.0865
[2:96] train_recon=0.0870  val_recon=0.0865
[2:97] train_recon=0.0870  val_recon=0.0865
[2:98] train_recon=0.0870  val_recon=0.0865
[2:99] train_recon=0.0870  val_recon=0.0865
[2:100] train_recon=0.0869  val_recon=0.0865
[2:101] train_recon=0.0869  val_recon=0.0865
[2:102] train_recon=0.0869  val_recon=0.0865
[2:103] train_recon=0.0869  val_recon=0.0865
[2:104] train_recon=0.0869  val_recon=0.0865
[2:105] train_recon=0.0869  val_recon=0.0865
[2:106] train_recon=0.0869  val_recon=0.0865
[2:107] train_recon=0.0869  val_recon=0.0865
[2:108] train_recon=0.0869  val_recon=0.0865
[2:109] train_recon=0.0869  val_recon=0.0865
[2:110] train_recon=0.0869  val_recon=0.0864
[2:111] train_recon=0.0869  val_recon=0.0864
[2:112] train_recon=0.0869  val_recon=0.0864
[2:113] train_recon=0.0869  val_recon=0.0864
[2:114] train_recon=0.0869  val_recon=0.0864
[2:115] train_recon=0.0869  val_recon=0.0864
[2:116] train_recon=0.0869  val_recon=0.0864
[2:117] train_recon=0.0869  val_recon=0.0864
[2:118] train_recon=0.0869  val_recon=0.0864
[2:119] train_recon=0.0869  val_recon=0.0864
[2:120] train_recon=0.0869  val_recon=0.0864
[2:121] train_recon=0.0869  val_recon=0.0864
[2:122] train_recon=0.0869  val_recon=0.0864
[2:123] train_recon=0.0869  val_recon=0.0864
[2:124] train_recon=0.0869  val_recon=0.0864
[2:125] train_recon=0.0869  val_recon=0.0864
[2:126] train_recon=0.0869  val_recon=0.0864
[2:127] train_recon=0.0869  val_recon=0.0864
[2:128] train_recon=0.0869  val_recon=0.0864
[2:129] train_recon=0.0869  val_recon=0.0864
[2:130] train_recon=0.0869  val_recon=0.0864
[2:131] train_recon=0.0869  val_recon=0.0864
[2:132] train_recon=0.0869  val_recon=0.0864
[2:133] train_recon=0.0869  val_recon=0.0864
[2:134] train_recon=0.0868  val_recon=0.0864
[2:135] train_recon=0.0868  val_recon=0.0864
[2:136] train_recon=0.0868  val_recon=0.0864
[2:137] train_recon=0.0868  val_recon=0.0864
[2:138] train_recon=0.0868  val_recon=0.0864
[2:139] train_recon=0.0868  val_recon=0.0864
[2:140] train_recon=0.0868  val_recon=0.0864
[2:141] train_recon=0.0868  val_recon=0.0864
[2:142] train_recon=0.0868  val_recon=0.0864
[2:143] train_recon=0.0868  val_recon=0.0864
[2:144] train_recon=0.0868  val_recon=0.0864
[2:145] train_recon=0.0868  val_recon=0.0864
[2:146] train_recon=0.0868  val_recon=0.0864
[2:147] train_recon=0.0868  val_recon=0.0864
[2:148] train_recon=0.0868  val_recon=0.0864
[2:149] train_recon=0.0868  val_recon=0.0864
[2:150] train_recon=0.0868  val_recon=0.0864
[2:151] train_recon=0.0868  val_recon=0.0864
[2:152] train_recon=0.0868  val_recon=0.0864
[2:153] train_recon=0.0868  val_recon=0.0864
[2:154] train_recon=0.0868  val_recon=0.0864
[2:155] train_recon=0.0868  val_recon=0.0864
[2:156] train_recon=0.0868  val_recon=0.0864
[2:157] train_recon=0.0868  val_recon=0.0864
[2:158] train_recon=0.0868  val_recon=0.0864
[2:159] train_recon=0.0868  val_recon=0.0864
[2:160] train_recon=0.0868  val_recon=0.0864
[2:161] train_recon=0.0868  val_recon=0.0864
[2:162] train_recon=0.0868  val_recon=0.0864
[2:163] train_recon=0.0868  val_recon=0.0864
[2:164] train_recon=0.0868  val_recon=0.0864
[2:165] train_recon=0.0868  val_recon=0.0864
[2:166] train_recon=0.0868  val_recon=0.0864
[2:167] train_recon=0.0868  val_recon=0.0864
[2:168] train_recon=0.0868  val_recon=0.0864
[2:169] train_recon=0.0868  val_recon=0.0864
[2:170] train_recon=0.0868  val_recon=0.0864
[2:171] train_recon=0.0868  val_recon=0.0864
[2:172] train_recon=0.0868  val_recon=0.0864
[2:173] train_recon=0.0868  val_recon=0.0864
[2:174] train_recon=0.0868  val_recon=0.0864
[2:175] train_recon=0.0868  val_recon=0.0864
[2:176] train_recon=0.0868  val_recon=0.0864
[2:177] train_recon=0.0868  val_recon=0.0864
[2:178] train_recon=0.0868  val_recon=0.0864
[2:179] train_recon=0.0868  val_recon=0.0864
[2:180] train_recon=0.0868  val_recon=0.0864
[2:181] train_recon=0.0868  val_recon=0.0864
[2:182] train_recon=0.0868  val_recon=0.0864
[2:183] train_recon=0.0868  val_recon=0.0864
[2:184] train_recon=0.0868  val_recon=0.0864
[2:185] train_recon=0.0868  val_recon=0.0864
[2:186] train_recon=0.0868  val_recon=0.0864
[2:187] train_recon=0.0868  val_recon=0.0864
[2:188] train_recon=0.0868  val_recon=0.0864
[2:189] train_recon=0.0868  val_recon=0.0864
[2:190] train_recon=0.0868  val_recon=0.0864
[2:191] train_recon=0.0868  val_recon=0.0864
[2:192] train_recon=0.0868  val_recon=0.0864
[2:193] train_recon=0.0868  val_recon=0.0864
[2:194] train_recon=0.0868  val_recon=0.0864
[2:195] train_recon=0.0868  val_recon=0.0864
[2:196] train_recon=0.0868  val_recon=0.0864
[2:197] train_recon=0.0868  val_recon=0.0864
[2:198] train_recon=0.0868  val_recon=0.0864
[2:199] train_recon=0.0868  val_recon=0.0864
[2:200] train_recon=0.0868  val_recon=0.0864
[2:201] train_recon=0.0868  val_recon=0.0864
[2:202] train_recon=0.0868  val_recon=0.0864
[2:203] train_recon=0.0868  val_recon=0.0864
[2:204] train_recon=0.0868  val_recon=0.0864
[2:205] train_recon=0.0868  val_recon=0.0864
[2:206] train_recon=0.0868  val_recon=0.0864
[2:207] train_recon=0.0868  val_recon=0.0864
[2:208] train_recon=0.0868  val_recon=0.0864
[2:209] train_recon=0.0868  val_recon=0.0864
[2:210] train_recon=0.0868  val_recon=0.0864
[2:211] train_recon=0.0868  val_recon=0.0864
[2:212] train_recon=0.0868  val_recon=0.0864
[2:213] train_recon=0.0868  val_recon=0.0864
[2:214] train_recon=0.0868  val_recon=0.0864
[2:215] train_recon=0.0868  val_recon=0.0864
[2:216] train_recon=0.0868  val_recon=0.0864
[2:217] train_recon=0.0868  val_recon=0.0864
[2:218] train_recon=0.0868  val_recon=0.0864
[2:219] train_recon=0.0868  val_recon=0.0864
[2:220] train_recon=0.0868  val_recon=0.0864
[2:221] train_recon=0.0868  val_recon=0.0864
[2:222] train_recon=0.0868  val_recon=0.0864
[2:223] train_recon=0.0868  val_recon=0.0864
[2:224] train_recon=0.0868  val_recon=0.0864
[2:225] train_recon=0.0868  val_recon=0.0864
[2:226] train_recon=0.0868  val_recon=0.0864
[2:227] train_recon=0.0868  val_recon=0.0864
[2:228] train_recon=0.0868  val_recon=0.0864
[2:229] train_recon=0.0868  val_recon=0.0864
[2:230] train_recon=0.0868  val_recon=0.0864
[2:231] train_recon=0.0868  val_recon=0.0864
[2:232] train_recon=0.0868  val_recon=0.0864
